problemTitle,language,code
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer max1 = null, max2 = null, max3 = null;\n        for (int num : nums) {\n\n            if ((max1 != null && num == max1) ||\n                (max2 != null && num == max2) ||\n                (max3 != null && num == max3)) {\n                continue;\n            }\n\n            if (max1 == null || num > max1) {\n                max3 = max2;\n                max2 = max1;\n                max1 = num;\n            }\n            else if (max2 == null || num > max2) {\n                max3 = max2;\n                max2 = num;\n            }\n            else if (max3 == null || num > max3) {\n                max3 = num;\n            }\n        }\n\n        return max3 == null ? max1 : max3;\n    }\n}"
Third Maximum Number,java,"class Solution {\n    public Object solution(Object input) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        HashSet<Integer> set=new HashSet<>();\n        \n        for(int num:nums){\n            set.add(num);\n        }\n        int j=0;\n        int arr[]=new int[set.size()];\n        for(int i:set){\n            arr[j++]=i;\n        }\n        Arrays.sort(arr);\n        \n        if(arr.length>=3){\n            return(arr[arr.length-3]);\n        }\n        return (arr[arr.length-1]);\n        \n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      \n        Long first = null;   \n        Long second = null; \n        Long third = null;   \n        \n        for (int num : nums) {\n            long n = num;\n\n           \n            if ((first != null && n == first) ||\n                (second != null && n == second) ||\n                (third != null && n == third)) {\n                continue;\n            }\n\n    \n            if (first == null || n > first) {\n              \n                third = second;\n                second = first;\n                first = n;\n            } else if (second == null || n > second) {\n               \n                third = second;\n                second = n;\n            } else if (third == null || n > third) {\n                third = n;\n            }\n        }\n\n  \n        return (third == null) ? first.intValue() : third.intValue();\n    }\n}\n
Third Maximum Number,java,\n\nclass Solution {\n        public int thirdMax(int[] nums) {\n        Integer m1 = null;\n        Integer m2 = null;\n        Integer m3 = null;\n        for (Integer n : nums) {\n            if (n.equals(m1) || n.equals(m2) || n.equals(m3)) continue;\n            if (m1 == null || n > m1) {\n                m3 = m2;\n                m2 = m1;\n                m1 = n;\n            } else if (m2 == null || n > m2) {\n                m3 = m2;\n                m2 = n;\n            } else if (m3 == null || n > m3) {\n                m3 = n;\n            }\n        }\n        return m3 == null ? m1 : m3;\n    }\n}
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}"
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}"
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long firstMax = Long.MIN_VALUE, secMax = Long.MIN_VALUE, thirdMax = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == firstMax || num == secMax || num == thirdMax) continue;\n\n            if (num > firstMax) {\n                thirdMax = secMax;\n                secMax = firstMax;\n                firstMax = num;\n            }\n\n            else if (num > secMax) {\n                thirdMax = secMax;\n                secMax = num;\n            }\n\n            else if (num > thirdMax) {\n                thirdMax = num;\n            }\n        }\n\n        return (thirdMax == Long.MIN_VALUE) ? (int) firstMax : (int) thirdMax;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long first=Long.MIN_VALUE;\n        long second=Long.MIN_VALUE;\n        long third=Long.MIN_VALUE;\n        for(int i=0;i<nums.length;i++){\n            if(nums[i]>first){\n                third=second;\n                second=first;\n                first=nums[i];\n\n            }\n      else  if(nums[i]>second && nums[i]<first){\n            third=second;\n            second=nums[i];\n\n            }\n        else if(nums[i]>third && nums[i]<second)\n            third=nums[i];\n        }\n        if(third==Long.MIN_VALUE)\n        return (int)first;\n       \n\n         return (int)third;\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> set = new TreeSet<>();\n        for(int i:nums){\n            set.add(i);\n        }\n        ArrayList<Integer> list = new ArrayList<>();\n        for(int i:set){\n            list.add(i);\n        }\n        if(list.size() == 2) return list.get(1);\n        if(list.size() == 1) return list.get(0);\n        return list.get(list.size()-3);\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> ts = new TreeSet<>();\n        for(int x:nums)\n        {\n            ts.add(x);\n        }\n        List<Integer> lst = new ArrayList<>(ts);\n        if(lst.size() >= 3)\n        {\n            return lst.get(lst.size() - 3);\n        }\n        else\n        {\n            return lst.get(lst.size() - 1);\n        }\n\n    }\n}
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        if(nums.length ==1) return nums[0];\n        if(nums.length == 2)return Math.max(nums[0],nums[1]);\n        int  fmx = Integer.MIN_VALUE;\n        int smx = Integer.MIN_VALUE;\n        int tmx = Integer.MIN_VALUE;\n        int flg = 0;\n        for(int i=0;i<nums.length;i++)\n        {\n            if(nums[i]==Integer.MIN_VALUE)flg=1;\n            if(nums[i]>fmx)\n            {\n                tmx = smx;\n                smx = fmx;\n                fmx = nums[i];\n            }\n            else if(nums[i]>smx && nums[i]!=fmx)\n            {\n                tmx = smx;\n                smx = nums[i];\n            }\n            else if(nums[i]>tmx && nums[i]!=smx && nums[i]!=fmx)\n            {\n                tmx = nums[i];\n            }\n        }\n        System.out.println(fmx+"" ""+smx+"" ""+tmx);\n        if((tmx == Integer.MIN_VALUE && smx==Integer.MIN_VALUE)||(tmx==Integer.MIN_VALUE && flg==0))return fmx;\n        return tmx;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        TreeSet<Integer> tset = new TreeSet<>();\n        for(int i=0; i < nums.length; i++){\n            tset.add(nums[i]);\n        }\n        if(tset.size() == 1){\n            return tset.pollLast();\n        }\n        else if(tset.size() == 2){\n            return tset.pollLast();\n        }\n        else{\n            tset.pollLast();\n            tset.pollLast();\n            return tset.pollLast();\n        }\n    }\n}
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer fmax= null ,smax=null,tmax=null;\n        for(Integer num: nums){\n            if(num.equals(fmax)|| num.equals(smax)|| num.equals(tmax)) continue;\n            if(fmax == null || fmax < num){\n                tmax = smax;\n                smax = fmax;\n                fmax = num;\n            }\n            else if(smax==null || smax < num){\n                tmax = smax;\n                smax = num;\n            }\n            else if(tmax == null || tmax<num) tmax = num;\n        }\n        return tmax == null?fmax:tmax;\n    }\n}"
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        Integer fmax= null ,smax=null,tmax=null;\n        for(Integer num: nums){\n            if(num.equals(fmax)|| num.equals(smax)|| num.equals(tmax)) continue;\n            if(fmax == null || fmax < num){\n                tmax = smax;\n                smax = fmax;\n                fmax = num;\n            }\n            else if(smax==null || smax < num){\n                tmax = smax;\n                smax = num;\n            }\n            else if(tmax == null || tmax<num) tmax = num;\n        }\n        return tmax == null?fmax:tmax;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n      int len=nums.length;\n      TreeSet<Integer> num=new TreeSet<>();\n      for(int n:nums){\n        num.add(n);\n      }\n      List<Integer> list=new ArrayList<>(num);\n      int l=list.size();\n      if(l>=3){\n        return list.get(l-3);\n      }\n      else{\n        return list.get(l-1);\n      }\n    }\n}
Third Maximum Number,java,class Solution {\n    public static int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n\n        ArrayList<Integer> arr = new ArrayList<>();\n\n        for (int i = 0; i < nums.length; i++) {\n            if (arr.isEmpty() || arr.get(arr.size() - 1) != nums[i]) {\n                arr.add(nums[i]);\n            }\n        }\n\n        if (arr.size() < 3) {\n            return arr.get(arr.size() - 1);\n        }\n\n        return arr.get(arr.size() - 3);\n    }\n}\n
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Set<Integer> ts=new HashSet<>();\n        for(int ch:nums){\n            ts.add(ch);\n        }\n        List<Integer> al=new ArrayList<>(ts);\n        Collections.sort(al);\n        if(al.size()==2){\n            return al.get(1);\n        }\n        else if(al.size()==1){\n            return al.get(0);\n        }\n        else return al.get(al.size()-3);\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Set<Integer> s = new HashSet<>();\n        for(int i : nums){\n            s.add(i);\n        }\n        List<Integer> list = new ArrayList<>(s);\n        Collections.sort(list);\n        if(list.size() == 2){\n            return list.get(1);\n        }else if(list.size() == 1){\n            return list.get(0);\n        }else{\n            return list.get(list.size() - 3);\n        }\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long first = Long.MIN_VALUE;\n        long second = Long.MIN_VALUE;\n        long third = Long.MIN_VALUE;\n\n        for (int num : nums) {\n            if (num == first || num == second || num == third)\n                continue;\n\n            if (num > first) {\n                third = second;\n                second = first;\n                first = num;\n            } else if (num > second) {\n                third = second;\n                second = num;\n            } else if (num > third) {\n                third = num;\n            }\n        }\n\n        return third == Long.MIN_VALUE ? (int) first : (int) third;\n    }\n}\n
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long max1=Long.MIN_VALUE,max2=Long.MIN_VALUE,max3=Long.MIN_VALUE;\n        for(long i : nums){\n            if(i>max1){\n                max3=max2;\n                max2=max1;\n                max1=i;\n            }\n            else if(i>max2 && i!=max1){\n                max3=max2;\n                max2=i;\n            }\n            else if(i>max3 && i!=max2 && i!=max1){\n                max3=i;\n            }\n        }\n        return (max3==Long.MIN_VALUE)? (int)max1 : (int)max3;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        for (int i=0; i<nums.length/2;i++) {\n            int temp = nums[i];\n            nums[i] = nums[nums.length - 1 - i];\n            nums[nums.length - 1 - i] = temp;\n        }\n        int elemCounted = 1;\n        int prevElem=nums[0];\n        for (int i = 1; i<nums.length;i++) {\n            if (nums[i] != prevElem) {\n                elemCounted += 1;\n                prevElem = nums[i];\n            }\n            if (elemCounted == 3) {\n                return nums[i];\n            }\n        }\n        return nums[0];\n    }\n}
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long max1=Long.MIN_VALUE,max2=Long.MIN_VALUE,max3=Long.MIN_VALUE;\n       for(int i=0;i<nums.length;i++)\n       {     long n=nums[i];\n            if(max1==n|| max2==n|| max3==n) continue;\n            if(n>max1){\n                max3=max2;\n                max2=max1;\n                max1=n;\n            }else if(n>max2){\n                max3=max2;\n                max2=n;\n            }else if(n>max3) max3=n;\n        }\n        return (int)((max3==Long.MIN_VALUE)?max1:max3);\n\n    }\n}"
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] nums) {\n        long max1=Long.MIN_VALUE,max2=Long.MIN_VALUE,max3=Long.MIN_VALUE;\n       for(int i=0;i<nums.length;i++)\n       {     long n=nums[i];\n            if(max1==n|| max2==n|| max3==n) continue;\n            if(n>max1){\n                max3=max2;\n                max2=max1;\n                max1=n;\n            }else if(n>max2){\n                max3=max2;\n                max2=n;\n            }else if(n>max3) max3=n;\n        }\n        return (int)((max3==Long.MIN_VALUE)?max1:max3);\n\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        long f = Long.MIN_VALUE;\n        long s = Long.MIN_VALUE;\n        long t = Long.MIN_VALUE;\n        \n        for(int num:nums)\n        {\n            if(num==f ||num==s||num==t) \n            {continue;}\n            if(num>f)\n            {\n                t=s;\n                s=f;\n                f=num;\n            }\n            else if(num>s)\n            {\n                t=s;\n                s=num;\n            }\n            else if(num>t)\n            {\n                t=num;\n            }\n        }\n       return (t==Long.MIN_VALUE)? (int)f:(int)t;\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Set<Integer> n=new HashSet<>();\n        for(int i:nums) n.add(i);\n        Integer[] a=n.toArray(new Integer[0]);\n       Arrays.sort(a);\n       if(a.length>=3)\n{       return a[a.length-3];\n \n   }\n   if(a.length<3) return a[a.length-1];\n    return 0;\n      }\n}    
Third Maximum Number,java,"class Solution {\n    public int thirdMax(int[] n)\n    {\n       int l=n.length;\n       int fmax=Integer.MIN_VALUE,smax=Integer.MIN_VALUE,tmax=Integer.MIN_VALUE;\n       HashSet<Integer> uni=new HashSet<>();\n       for(int i:n)\n       {\n          uni.add(i);\n       }\n       for(int i:uni)\n       {\n          if(fmax<i)\n          {\n            tmax=smax;\n            smax=fmax;\n            fmax=i;\n          }\n          else if(smax<i && smax!=fmax)\n          {\n             tmax=smax;\n             smax=i;\n          }\n          else if(tmax<i && tmax!=smax && tmax!=fmax)\n          {\n             tmax=i;\n          }\n       }\n       if(uni.size()<=2) return fmax;\n       return tmax;\n    }\n}"
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Arrays.sort(nums);\n        int count=0;\n        for(int i=nums.length-1;i>0;i--){\n            if(nums[i]!=nums[i-1]) count++;\n            if(count==2) return nums[i-1];\n        }\n        return nums[nums.length-1];\n    }\n}
Third Maximum Number,java,class Solution {\n    public int thirdMax(int[] nums) {\n        Set<Integer> n= new HashSet<>();\n        for(int x : nums){\n            n.add(x);}\n        List<Integer>  l=new ArrayList<>(n);\n        Collections.sort(l);\n        if(l.size()==2) return l.get(1);\n        else if(l.size()==1) return l.get(0);\n        else return l.get(l.size()-3);}}
